Unnamed: 0,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category_Anti-Aging,category_BB_&_CC_Cream,category_Bath_&_Shower,category_Beauty_Supplements,category_Blemish_&_Acne_Treatments,category_Blotting_Papers,category_Body_Lotions_&_Body_Oils,category_Cellulite_&_Stretch_Marks,category_Decollete_&_Neck_Creams,category_Exfoliators,category_Eye_Creams_&_Treatments,category_Eye_Masks,category_Face_Masks,category_Face_Oils,category_Face_Primer,category_Face_Serums,category_Face_Sunscreen,category_Face_Wash_&_Cleansers,category_Facial_Peels,category_Foundation,category_Hair_Oil,category_Highlighter,category_Holistic_Wellness,category_Mini_Size,category_Mists_&_Essences,category_Moisturizer_&_Treatments,category_Moisturizers,category_Night_Creams,category_Setting_Spray_&_Powder,category_Sheet_Masks,category_Skincare,category_Tinted_Moisturizer,category_Toners,category_Tools,category_Value_&_Gift_Sets,reviews_to_loves_ratio,return_on_reviews,price_per_ounce,product_name_std,brand_name_std,match_key,category
127,Biossance,Squalane + Omega Repair Cream,58.0,255,7834,4.5294,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.26,1.78,34.32,squalane_omega_repair_cream,biossance,biossance_squalane_omega_repair_cream,Moisturizers
128,belif,Aqua Bomb Sleeping Mask,34.0,745,22332,4.6255,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0.62,13.44,aqua_bomb_sleeping_mask,belif,belif_aqua_bomb_sleeping_mask,Moisturizers
129,Origins,Dr. Andrew Weil For Origins‚ Mega-Bright SPF 30 Skin Tone Correcting Oil-Free Moisturizer,56.0,158,13870,4.1076,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.14,2.6,32.94,dr._andrew_weil_for_origins‚_mega_bright_spf_30_skin_tone_correcting_oil_free_moisturizer,origins,origins_dr._andrew_weil_for_origins‚_mega_bright_spf_30_skin_tone_correcting_oil_free_moisturizer,
130,La Mer,The Renewal Oil,245.0,39,8739,4.2564,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,10.91,245.0,the_renewal_oil,la_mer,la_mer_the_renewal_oil,Moisturizers
131,belif,Peat Miracle Revital Cream,58.0,54,10523,4.7222,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.51,8.74,34.52,peat_miracle_revital_cream,belif,belif_peat_miracle_revital_cream,Moisturizers
132,La Mer,The Moisturizing Cool Gel Cream,175.0,59,4842,3.2881,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.22,5.57,175.0,the_moisturizing_cool_gel_cream,la_mer,la_mer_the_moisturizing_cool_gel_cream,Moisturizers
133,Mario Badescu,"Facial Spray with Aloe, Herbs and Rosewater",12.0,111,17595,4.2432,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.63,3.82,1.5,"facial_spray_with_aloe,_herbs_and_rosewater",mario_badescu,"mario_badescu_facial_spray_with_aloe,_herbs_and_rosewater",Moisturizers
134,Murad,Hydro-Dynamic¬Æ Ultimate Moisture,75.0,365,12350,4.4247,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.96,1.21,44.12,hydro_dynamic¬æ_ultimate_moisture,murad,murad_hydro_dynamic¬æ_ultimate_moisture,
135,Origins,GinZing‚ SPF 40 Energy-Boosting Tinted Moisturizer,39.0,198,11605,4.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.71,2.02,22.94,ginzing‚_spf_40_energy_boosting_tinted_moisturizer,origins,origins_ginzing‚_spf_40_energy_boosting_tinted_moisturizer,
136,Shiseido,Sports BB SPF 50+,38.0,2,1478,4.5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,225.0,38.0,sports_bb_spf_50,shiseido,shiseido_sports_bb_spf_50,Moisturizers
137,Fresh,Black Tea Kombucha Antioxidant Essence,68.0,275,35942,4.4073,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.77,1.6,13.6,black_tea_kombucha_antioxidant_essence,fresh,fresh_black_tea_kombucha_antioxidant_essence,Moisturizers
138,Fresh,Black Tea Corset Cream Firming Moisturizer,95.0,92,16014,4.0326,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.57,4.38,59.38,black_tea_corset_cream_firming_moisturizer,fresh,fresh_black_tea_corset_cream_firming_moisturizer,Moisturizers
139,Murad,Oil-Control Mattifier SPF 15 PA++,40.0,2000,32886,4.1703,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.08,0.21,23.53,oil_control_mattifier_spf_15_pa,murad,murad_oil_control_mattifier_spf_15_pa,Moisturizers
